session,participant,handedness,gender,native language,date,frameRate,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
002,002,L,M,English,2018_Jun_18_2121,59.64865380157628,
